year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,5,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,37132,Cempaka Putih,Pulo Gadung,106.876423,-6.174207,106.90885,-6.183325
2021,5,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382,Kelapa Gading,Rusun Kemayoran,-6.136,106.9015,-6.1735,106.8465
2021,5,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,88187,Rawamangun,Tanah Merah,106.880332,-6.192931,-6.1334847,106.9005815
2021,5,Mikrotrans,JAK.58,Cilingcing - Rorotan,96611,Cilingcing,Rorotan,-6.0935,106.879,-6.1335,106.9045
2021,5,Mikrotrans,JAK.56,Grogol - Srengseng,52740,Grogol,Srengseng,106.789705,-6.166824,-6.2095235,106.7546797
2021,5,Mikrotrans,JAK.54,Grogol - Benhil,39288,Grogol,Benhil,106.789705,-6.166824,-6.2146871,106.8154446
2021,5,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35808,Grogol,Pos Pengumben,106.789705,-6.166824,106.77226,-6.212935
2021,5,Mikrotrans,JAK.52,Kalideres - Muara Angke,57570,Kalideres,Muara Angke,106.705503,-6.154412,-6.1098764,106.7747051
2021,5,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,97315,Taman Kota,Budi Luhur,106.757893,-6.157176,-6.176755,106.7467395
2021,5,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,67209,Kalideres,Puri Kembangan,106.705503,-6.154412,-6.171,106.746
2021,5,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,42656,Lebak Bulus,Cipulir,106.774151,-6.289413,106.765411,-6.237818
2021,5,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,52794,Pasar Minggu,Ciganjur,-6.2825,106.82,-6.335,106.829
